id,lon_start,lat_start,lon_end,lat_end,frequency
2916,10.718775,52.417243,10.718137,52.417388,0.343719
2917,10.718263,52.418151,10.718137,52.417388,1.08263
2918,10.718137,52.417388,10.717725,52.416774,1.068164
2919,10.750521,52.40208,10.750151,52.402026,1.272042
2920,10.750151,52.402026,10.750087,52.402166,1.007714
2921,10.750087,52.402166,10.749089,52.402496,0.943434
2922,10.727172,52.404255,10.728037,52.404237,0.30103
2923,10.728725,52.403028,10.728704,52.402618,0.6213
2924,10.727109,52.403064,10.727119,52.403421,0.679616
2925,10.727096,52.402578,10.727109,52.403064,0.69719
2926,10.727109,52.403064,10.728725,52.403028,-inf
2927,10.728725,52.403028,10.728745,52.403424,0.449756
2928,10.728745,52.403424,10.727119,52.403421,0.260875
2929,10.726347,52.402583,10.727096,52.402578,0.548122
2930,10.727096,52.402578,10.728704,52.402618,0.951455
2931,10.728704,52.402618,10.729955,52.402611,1.167104
2932,10.729955,52.402611,10.730652,52.402401,1.220603
2933,10.730652,52.402401,10.732054,52.402391,1.363231
2934,10.725821,52.402586,10.726347,52.402583,0.388024
2935,10.726347,52.402583,10.726365,52.403437,0.468246
2936,10.706853,52.40813,10.707997,52.407784,-0.190829
2937,10.732914,52.408753,10.73489,52.40874,0.60708
2938,10.732914,52.408753,10.732969,52.4092,1.023046
2939,10.734867,52.408291,10.73489,52.40874,1.153338
2940,10.73489,52.40874,10.734892,52.409179,1.100242
2941,10.734892,52.409179,10.732969,52.4092,0.695668
2942,10.732969,52.4092,10.731323,52.409222,0.825151
2943,10.73127,52.408774,10.732914,52.408753,0.736302
2944,10.732914,52.408753,10.732861,52.40832,0.710478
2945,10.74292,52.403849,10.743403,52.403705,1.358574
2946,10.743403,52.403705,10.7432,52.403511,1.578374
2947,10.7432,52.403511,10.742222,52.403492,1.192471
2948,10.742222,52.403492,10.742252,52.402828,1.119851
2949,10.742252,52.402828,10.741962,52.402779,1.107059
2950,10.741962,52.402779,10.742132,52.402062,1.087611
2951,10.742132,52.402062,10.742302,52.401344,1.102272
2952,10.742302,52.401344,10.742135,52.401202,1.122765
2953,10.742135,52.401202,10.741695,52.40117,1.112453
2954,10.741695,52.40117,10.741616,52.401563,1.075465
2955,10.741616,52.401563,10.74101,52.401949,1.058455
2956,10.73124,52.408344,10.732861,52.40832,0.30103
